id,articleType_grouped,baseColour,gender,season,usage
1164,Tshirts,Blue,Men,Winter,Sports
1165,Tshirts,Blue,Men,Summer,Sports
1525,Backpacks,Navy Blue,Unisex,Fall,Casual
1526,Backpacks,Black,Unisex,Fall,Sports
1528,Jackets,Black,Men,Fall,Sports
1529,Tshirts,Red,Men,Fall,Casual
1532,Tshirts,Grey,Men,Fall,Casual
1533,Tshirts,Red,Men,Fall,Casual
1534,Tshirts,Black,Men,Fall,Casual
1535,Caps,Black,Unisex,Fall,Sports
1536,Tshirts,Black,Men,Fall,Sports
1537,Tshirts,Red,Men,Fall,Sports
1538,Tshirts,Blue,Men,Fall,Casual
1539,Tshirts,Grey,Men,Fall,Casual
1540,Tshirts,Blue,Men,Fall,Casual
1541,Sports Shoes,White,Men,Fall,Sports
1543,Casual Shoes,Black,Men,Fall,Casual
1544,Casual Shoes,White,Men,Fall,Casual
1545,Casual Shoes,White,Men,Fall,Casual
1546,Casual Shoes,White,Men,Fall,Casual
1547,Casual Shoes,Black,Men,Fall,Casual
1548,Sports Shoes,White,Men,Fall,Sports
1549,Sports Shoes,White,Men,Fall,Sports
1550,Sports Equipment,White,Unisex,Fall,Sports
1551,Sports Equipment,Orange,Unisex,Fall,Sports
1556,Backpacks,Black,Unisex,Summer,Sports
1561,Tshirts,White,Women,Fall,Sports
1562,Tshirts,Grey,Men,Fall,Sports
1563,Tshirts,Blue,Men,Fall,Sports
1566,Caps,Black,Men,Summer,Sports
1567,Shorts,Black,Men,Fall,Sports
1569,Shorts,Black,Men,Fall,Sports
1570,Tshirts,Black,Women,Fall,Sports
1572,Track Pants,Black,Men,Fall,Sports
1573,Track Pants,Grey,Women,Fall,Sports
1577,Caps,Green,Unisex,Fall,Sports
1578,Tshirts,Red,Men,Fall,Sports
1579,Jackets,Grey,Men,Fall,Sports
1580,Bottomwear,Black,Women,Fall,Sports
1581,Caps,Pink,Unisex,Summer,Sports
1582,Bottomwear,Black,Unisex,Summer,Sports
1583,Bottomwear,Black,Women,Fall,Sports
1584,Jackets,White,Unisex,Summer,Casual
1587,Sports Shoes,White,Men,Spring,Sports
1588,Tshirts,White,Men,Fall,Casual
1590,Sports Shoes,Black,Men,Fall,Sports
1591,Shorts,Red,Men,Fall,Sports
1592,Sports Shoes,Red,Men,Summer,Sports
1594,Casual Shoes,Grey,Unisex,Fall,Casual
1595,Tshirts,Black,Men,Spring,Sports
1596,Water Bottle,Pink,Men,Fall,Sports
1598,Handbags,Blue,Women,Summer,Travel
1603,Sweatshirts,Navy Blue,Men,Fall,Casual
1604,Track Pants,Blue,Women,Fall,Sports
1605,Track Pants,Black,Women,Fall,Sports
1608,Track Pants,Blue,Men,Fall,Sports
1609,Sweatshirts,Pink,Women,Fall,Sports
1610,Jackets,Navy Blue,Women,Summer,Casual
1612,Tshirts,White,Men,Fall,Casual
1613,Tshirts,White,Men,Fall,Casual
1614,Tshirts,White,Men,Fall,Sports
1615,Tshirts,Navy Blue,Men,Fall,Casual
1616,Tshirts,White,Men,Summer,Sports
1617,Tshirts,Red,Men,Fall,Sports
1618,Sports Shoes,White,Men,Summer,Sports
1619,Shorts,Grey,Men,Fall,Sports
1620,Shorts,Blue,Men,Fall,Sports
1621,Shorts,Grey,Men,Fall,Sports
1622,Jackets,Navy Blue,Men,Summer,Casual
1623,Backpacks,Red,Unisex,Summer,Casual
1626,Sports Equipment,Blue,Unisex,Summer,Sports
1627,Sports Equipment,White,Unisex,Fall,Sports
1634,Sports Shoes,White,Men,Fall,Sports
1637,Sports Shoes,White,Men,Fall,Sports
1638,Bottomwear,Blue,Unisex,Fall,Sports
1642,Sports Shoes,White,Men,Fall,Sports
1644,Tshirts,Red,Men,Fall,Sports
1645,Tshirts,Black,Men,Fall,Sports
1647,Backpacks,Green,Unisex,Summer,Sports
1649,Casual Shoes,Blue,Unisex,Spring,Casual
1654,Sports Shoes,White,Men,Fall,Sports
1657,Sports Shoes,White,Men,Fall,Sports
1658,Jackets,Blue,Men,Fall,Sports
1668,Tshirts,Red,Men,Fall,Casual
1670,Tshirts,Grey,Men,Fall,Casual
1671,Tshirts,Black,Men,Fall,Casual
1673,Tshirts,Black,Men,Fall,Sports
1678,Tshirts,Green,Men,Fall,Casual
1689,Tshirts,Blue,Men,Fall,Casual
1727,Casual Shoes,Black,Unisex,Winter,Casual
1728,Sports Shoes,Green,Unisex,Fall,Sports
1729,Casual Shoes,White,Unisex,Spring,Casual
1730,Sports Shoes,Black,Women,Fall,Sports
1731,Sports Shoes,White,Women,Fall,Sports
1752,Tshirts,Red,Men,Fall,Sports
1754,Tshirts,Black,Men,Fall,Sports
1755,Tshirts,Red,Men,Fall,Casual
1756,Tshirts,White,Men,Fall,Sports
1759,Tshirts,Grey,Men,Fall,Sports
1762,Tshirts,Blue,Women,Fall,Sports
1763,Tshirts,Pink,Women,Summer,Casual
1764,Track Pants,Black,Women,Fall,Sports
