id,dup_group,articleType_grouped,baseColour,gender,season,usage
1163,1163,Tshirts,Blue,Men,Summer,Sports
1164,1164,Tshirts,Blue,Men,Winter,Sports
1526,1526,Backpacks,Black,Unisex,Fall,Sports
1528,1528,Jackets,Black,Men,Fall,Sports
1529,1529,Tshirts,Red,Men,Fall,Casual
1530,1530,Jackets,Red,Men,Fall,Sports
1531,1531,Tshirts,Grey,Men,Fall,Casual
1532,1532,Tshirts,Grey,Men,Fall,Casual
1534,1534,Tshirts,Black,Men,Fall,Casual
1537,1537,Tshirts,Red,Men,Fall,Sports
1538,1538,Tshirts,Blue,Men,Fall,Casual
1539,1539,Tshirts,Grey,Men,Fall,Casual
1540,1540,Tshirts,Blue,Men,Fall,Casual
1541,1541,Sports Shoes,White,Men,Fall,Sports
1542,1542,Sports Shoes,White,Men,Fall,Sports
1543,1543,Casual Shoes,Black,Men,Fall,Casual
1544,1544,Casual Shoes,White,Men,Fall,Casual
1545,1545,Casual Shoes,White,Men,Fall,Casual
1546,1546,Casual Shoes,White,Men,Fall,Casual
1548,1548,Sports Shoes,White,Men,Fall,Sports
1550,1550,Sports Equipment,White,Unisex,Fall,Sports
1551,1551,Sports Equipment,Orange,Unisex,Fall,Sports
1552,1552,Sports Equipment,White,Unisex,Fall,Sports
1554,1554,Water Bottle,Blue,Unisex,Fall,Casual
1555,1555,Water Bottle,Purple,Unisex,Fall,Sports
1556,1556,Backpacks,Black,Unisex,Summer,Sports
1557,1557,Backpacks,Black,Unisex,Summer,Travel
1558,1558,Water Bottle,Blue,Unisex,Fall,Sports
1559,1559,Backpacks,Blue,Unisex,Summer,Travel
1561,1561,Tshirts,White,Women,Fall,Sports
1562,1562,Tshirts,Grey,Men,Fall,Sports
1565,1565,Backpacks,Green,Unisex,Summer,Travel
1566,1566,Caps,Black,Men,Summer,Sports
1569,1569,Shorts,Black,Men,Fall,Sports
1570,1570,Tshirts,Black,Women,Fall,Sports
1571,1571,Sports Shoes,White,Men,Fall,Sports
1572,1572,Track Pants,Black,Men,Fall,Sports
1573,1573,Track Pants,Grey,Women,Fall,Sports
1575,1575,Tshirts,White,Men,Summer,Casual
1577,1577,Caps,Green,Unisex,Fall,Sports
1578,1578,Tshirts,Red,Men,Fall,Sports
1579,1579,Jackets,Grey,Men,Fall,Sports
1580,1580,Bottomwear,Black,Women,Fall,Sports
1581,1581,Caps,Pink,Unisex,Summer,Sports
1583,1583,Bottomwear,Black,Women,Fall,Sports
1587,1587,Sports Shoes,White,Men,Spring,Sports
1588,1588,Tshirts,White,Men,Fall,Casual
1590,1590,Sports Shoes,Black,Men,Fall,Sports
1595,1595,Tshirts,Black,Men,Spring,Sports
1596,1596,Water Bottle,Pink,Men,Fall,Sports
1597,1597,Handbags,Black,Women,Summer,Travel
1598,1598,Handbags,Blue,Women,Summer,Travel
1599,1599,Handbags,Green,Women,Summer,Travel
1604,1604,Track Pants,Blue,Women,Fall,Sports
1605,1605,Track Pants,Black,Women,Fall,Sports
1607,1607,Track Pants,Blue,Men,Fall,Sports
1608,1608,Track Pants,Blue,Men,Fall,Sports
1610,1610,Jackets,Navy Blue,Women,Summer,Casual
1611,1611,Jackets,Black,Women,Summer,Sports
1612,1612,Tshirts,White,Men,Fall,Casual
1613,1613,Tshirts,White,Men,Fall,Casual
1614,1614,Tshirts,White,Men,Fall,Sports
1615,1615,Tshirts,Navy Blue,Men,Fall,Casual
1616,1616,Tshirts,White,Men,Summer,Sports
1617,1617,Tshirts,Red,Men,Fall,Sports
1618,1618,Sports Shoes,White,Men,Summer,Sports
1619,1619,Shorts,Grey,Men,Fall,Sports
1620,1620,Shorts,Blue,Men,Fall,Sports
1621,1621,Shorts,Grey,Men,Fall,Sports
1622,1622,Jackets,Navy Blue,Men,Summer,Casual
1624,1624,Backpacks,Black,Unisex,Summer,Sports
1625,1625,Tshirts,Red,Men,Fall,Sports
1626,1626,Sports Equipment,Blue,Unisex,Summer,Sports
1627,1627,Sports Equipment,White,Unisex,Fall,Sports
1628,1628,Sports Equipment,Brown,Unisex,Summer,Sports
1636,1636,Sports Shoes,White,Men,Fall,Sports
1641,1641,Sports Shoes,Silver,Men,Fall,Sports
1644,1644,Tshirts,Red,Men,Fall,Sports
1645,1645,Tshirts,Black,Men,Fall,Sports
1646,1646,Backpacks,Grey,Women,Summer,Sports
1647,1647,Backpacks,Green,Unisex,Summer,Sports
1649,1649,Casual Shoes,Blue,Unisex,Spring,Casual
1653,1653,Sports Shoes,Brown,Men,Summer,Sports
1654,1654,Sports Shoes,White,Men,Fall,Sports
1657,1657,Sports Shoes,White,Men,Fall,Sports
1658,1658,Jackets,Blue,Men,Fall,Sports
1662,1662,Jackets,Navy Blue,Men,Fall,Sports
1668,1668,Tshirts,Red,Men,Fall,Casual
1670,1670,Tshirts,Grey,Men,Fall,Casual
1671,1671,Tshirts,Black,Men,Fall,Casual
1678,1678,Tshirts,Green,Men,Fall,Casual
1727,1727,Casual Shoes,Black,Unisex,Winter,Casual
1730,1730,Sports Shoes,Black,Women,Fall,Sports
1731,1731,Sports Shoes,White,Women,Fall,Sports
1752,1752,Tshirts,Red,Men,Fall,Sports
1755,1755,Tshirts,Red,Men,Fall,Casual
1756,1756,Tshirts,White,Men,Fall,Sports
1757,1757,Tshirts,Black,Men,Fall,Sports
1758,1758,Jackets,White,Men,Fall,Sports
1762,1762,Tshirts,Blue,Women,Fall,Sports
1763,1763,Tshirts,Pink,Women,Summer,Casual
1764,1764,Track Pants,Black,Women,Fall,Sports
1766,1766,Tshirts,Blue,Men,Fall,Casual
1782,1782,Sports Shoes,Black,Men,Fall,Sports
1783,1783,Sandals,Grey,Men,Spring,Sports
1784,1784,Sports Shoes,White,Men,Fall,Sports
1785,1785,Sports Shoes,White,Men,Fall,Sports
1786,1786,Sports Shoes,White,Men,Fall,Sports
1789,1789,Sports Shoes,Orange,Men,Fall,Sports
1790,1790,Backpacks,Beige,Unisex,Fall,Sports
